;data_venda;faturado;valor_entrada;qtd_parcelas;primeiro_vencimento;valor_financiado;valor_parcela;mda;qtd_consultas_ate15dias;qtd_consultas_ate60dias;qtd_registros;qtd_contratos_quitados_cliente;qtd_contratos_abertos_cliente;media_atraso_cliente;sexo;data_nascimento;tel_fixo;estado_civil;dependentes;veiculo;veiculo_financiado;moradia;anos_residencia;ocupacao;telefone_comercial;data_admissao;salario;mda_cliente
1327;20130216;94.9;;2;20130317;94.9;47.45;22;;;;5;;10.0;1;19490810.0;True;2;;;;;2.0;49.0;True;20100201.0;1700.0;75
1328;20120830;129.8;;5;20120930;129.8;25.96;27;0.0;0.0;0.0;4;;0.0;1;19320217.0;True;1;;;;;1.0;68.0;True;20090201.0;800.0;27
1329;20121003;13.98;;1;20121103;13.98;13.98;-3;0.0;0.0;0.0;4;1.0;0.0;1;19320217.0;True;1;;;;;1.0;68.0;True;20090201.0;800.0;27
1330;20120507;207.0;;5;20120607;207.0;41.4;4;;;;3;;0.0;2;19480714.0;True;2;;;;;2.0;69.0;True;20000101.0;4500.0;5
1331;20121031;114.8;;3;20121201;114.8;38.27;0;;;;4;;0.0;2;19480714.0;True;2;;;;;2.0;69.0;True;20000101.0;4500.0;5
1332;20121220;228.2;;3;20130120;228.2;76.07;5;;;;4;1.0;0.0;2;19480714.0;True;2;;;;;2.0;69.0;True;20000101.0;4500.0;5
1333;20120306;471.5;;5;20120406;471.5;94.3;6;;;;2;;0.0;2;19651125.0;False;2;;;;;2.0;67.0;True;19870901.0;4000.0;73
1334;20120525;160.6;;5;20120625;160.6;32.12;14;;;;2;1.0;0.0;2;19651125.0;False;2;;;;;2.0;67.0;True;19870901.0;4000.0;73
1335;20120608;463.5;;5;20120708;463.5;92.7;7;;;;2;2.0;0.0;2;19651125.0;False;2;;;;;2.0;67.0;True;19870901.0;4000.0;73
1336;20120609;103.3;;3;20120709;103.3;34.43;30;;;;2;3.0;0.0;2;19651125.0;False;2;;;;;2.0;67.0;True;19870901.0;4000.0;73
1337;20120619;164.8;;5;20120719;164.8;32.96;36;;;;2;4.0;0.0;2;19651125.0;False;2;;;;;2.0;67.0;True;19870901.0;4000.0;73
1338;20121109;131.8;;4;20121209;131.8;32.95;7;;;;7;;2.0;2;19651125.0;False;2;;;;;2.0;67.0;True;19870901.0;4000.0;73
1339;20130328;534.2;;5;20130608;534.2;106.84;73;;;;8;;2.0;2;19651125.0;False;2;;;;;2.0;67.0;True;19870901.0;4000.0;73
1340;20130330;19.9;;1;20130430;19.9;19.9;11;;;;8;1.0;2.0;2;19651125.0;False;2;;;;;2.0;67.0;True;19870901.0;4000.0;73
1341;20130426;259.8;;5;20130526;259.8;51.96;57;;;;8;2.0;2.0;2;19651125.0;False;2;;;;;2.0;67.0;True;19870901.0;4000.0;73
1342;20130511;317.7;;5;20130611;317.7;63.54;70;;;;9;2.0;2.0;2;19651125.0;False;2;;;;;2.0;67.0;True;19870901.0;4000.0;73
1343;20130515;32.1;;1;20130615;32.1;32.1;52;;;;9;3.0;2.0;2;19651125.0;False;2;;;;;2.0;67.0;True;19870901.0;4000.0;73
1344;20130525;249.8;;5;20130725;249.8;49.96;56;;;;9;4.0;2.0;2;19651125.0;False;2;;;;;2.0;67.0;True;19870901.0;4000.0;73
1345;20120601;65.9;;3;20120701;65.9;21.97;2;;;;1;;0.0;2;19720310.0;True;2;;;;;1.0;67.0;True;20090101.0;800.0;2
1346;20120620;250.5;;5;20120720;250.5;50.1;-17;;;;1;;6.0;2;19360910.0;False;1;;;;;1.0;68.0;True;19900201.0;800.0;25
1347;20120809;47.8;;2;20120909;47.8;23.9;100;0.0;0.0;0.0;2;;88.0;1;19640327.0;True;1;;;;;2.0;208.0;True;19900101.0;820.0;182
1348;20130112;168.8;;5;20130212;168.8;33.76;73;0.0;0.0;0.0;3;;88.0;1;19640327.0;True;1;;;;;2.0;208.0;True;19900101.0;820.0;182
1349;20120926;235.5;;4;20121026;235.5;58.88;35;0.0;0.0;0.0;2;;33.0;2;19450728.0;True;2;;;;;1.0;114.0;True;20000201.0;1700.0;67
1350;20121112;69.58;;2;20121212;69.58;34.79;17;0.0;0.0;0.0;2;1.0;27.0;2;19450728.0;True;2;;;;;1.0;114.0;True;20000201.0;1700.0;67
1351;20121129;249.6;;5;20121229;249.6;49.92;67;0.0;0.0;0.0;2;2.0;24.0;2;19450728.0;True;2;;;;;1.0;114.0;True;20000201.0;1700.0;67
1352;20120201;167.7;;4;20120301;167.7;41.93;17;;;;2;;20.0;1;19510814.0;True;2;;;;;3.0;49.0;True;20040101.0;3320.0;136
1353;20120418;241.5;;5;20120518;241.5;48.3;28;;;;2;1.0;16.0;1;19510814.0;True;2;;;;;3.0;49.0;True;20040101.0;3320.0;136
1354;20120720;339.48;;5;20120820;339.48;67.9;14;;;;3;1.0;14.0;1;19510814.0;True;2;;;;;3.0;49.0;True;20040101.0;3320.0;136
1355;20120915;136.8;;4;20121015;136.8;34.2;36;;;;4;1.0;12.0;1;19510814.0;True;2;;;;;3.0;49.0;True;20040101.0;3320.0;136
1356;20121103;29.9;;1;20121203;29.9;29.9;-2;;;;4;2.0;10.0;1;19510814.0;True;2;;;;;3.0;49.0;True;20040101.0;3320.0;136
1357;20130803;448.8;;5;20130903;448.8;89.76;136;;;;7;;9.0;1;19510814.0;True;2;;;;;3.0;49.0;True;20040101.0;3320.0;136
1358;20120519;139.8;;5;20120619;139.8;27.96;42;;;;2;;45.0;2;19660626.0;True;2;;;;;1.0;54.0;True;20000101.0;3311.0;68
1359;20121011;166.7;;3;20121111;166.7;55.57;19;0.0;0.0;0.0;2;1.0;28.0;2;19660626.0;True;2;;;;;1.0;54.0;True;20000101.0;3311.0;68
1360;20130313;241.2;;4;20130413;241.2;60.3;17;0.0;0.0;0.0;4;;26.0;2;19660626.0;True;2;;;;;1.0;54.0;True;20000101.0;3311.0;68
1361;20121201;328.6;;3;20130101;328.6;109.53;4;0.0;0.0;0.0;2;;15.0;1;19670202.0;True;2;;;;;2.0;67.0;True;20060201.0;1200.0;54
1362;20121229;233.4;;2;20130213;233.4;116.7;6;0.0;0.0;0.0;2;1.0;12.0;1;19670202.0;True;2;;;;;2.0;67.0;True;20060201.0;1200.0;54
1363;20120811;79.8;;4;20120911;79.8;19.95;24;;;;4;;4.0;1;19590102.0;True;2;;;;;2.0;67.0;True;20000201.0;2700.0;25
1364;20130809;129.8;;5;20130909;129.8;25.96;25;;;;5;;6.0;1;19590102.0;True;2;;;;;2.0;67.0;True;20000201.0;2700.0;25
1365;20120225;108.7;;3;20120325;108.7;36.23;15;;;;1;;8.0;1;19400401.0;True;2;;;;;2.0;68.0;True;20000201.0;1945.0;15
1366;20120825;192.3;;3;20120925;192.3;64.1;6;0.0;0.0;0.0;2;;11.0;1;19400401.0;True;2;;;;;2.0;68.0;True;20000201.0;1945.0;15
1367;20120929;294.7;;4;20121029;294.7;73.68;12;0.0;0.0;0.0;2;1.0;10.0;1;19400401.0;True;2;;;;;2.0;68.0;True;20000201.0;1945.0;15
1368;20130316;132.0;;2;20130416;132.0;66.0;-3;0.0;0.0;0.0;4;;8.0;1;19400401.0;True;2;;;;;2.0;68.0;True;20000201.0;1945.0;15
1369;20120616;259.8;;3;20120716;259.8;86.6;43;;;;3;;63.0;2;19621122.0;False;2;;;;;1.0;88.0;True;20050601.0;4300.0;87
1370;20120504;122.8;;4;20120604;122.8;30.7;5;;;;3;;8.0;2;19650904.0;True;1;;;;;1.0;124.0;True;20050501.0;1250.0;21
1371;20120407;354.6;;5;20120507;354.6;70.92;8;;;;1;;0.0;2;19430101.0;True;1;;;;;1.0;68.0;True;20000101.0;720.0;32
1372;20120721;215.9;;5;20120821;215.9;43.18;21;0.0;11.0;0.0;1;1.0;0.0;2;19430101.0;True;1;;;;;1.0;68.0;True;20000101.0;720.0;32
1373;20121206;195.5;;5;20130106;195.5;39.1;32;0.0;0.0;0.0;2;1.0;3.0;2;19430101.0;True;1;;;;;1.0;68.0;True;20000101.0;720.0;32
1374;20120214;269.8;;5;20120314;269.8;53.96;-14;;;;4;2.0;19.0;1;19531128.0;True;2;;;;;1.0;67.0;True;19781001.0;1100.0;65
1375;20120214;78.6;;4;20120314;78.6;19.65;12;;;;4;2.0;19.0;1;19531128.0;True;2;;;;;1.0;67.0;True;19781001.0;1100.0;65
1376;20120214;73.6;;4;20120314;73.6;18.4;12;;;;4;2.0;19.0;1;19531128.0;True;2;;;;;1.0;67.0;True;19781001.0;1100.0;65
1377;20120502;209.8;;5;20120701;209.8;41.96;-8;;;;4;4.0;9.0;1;19531128.0;True;2;;;;;1.0;67.0;True;19781001.0;1100.0;65
1378;20120502;117.6;;5;20120701;117.6;23.52;7;;;;4;4.0;9.0;1;19531128.0;True;2;;;;;1.0;67.0;True;19781001.0;1100.0;65
1379;20120626;209.9;;5;20120726;209.9;41.98;-2;;;;7;2.0;0.0;1;19531128.0;True;2;;;;;1.0;67.0;True;19781001.0;1100.0;65
1380;20120905;211.6;;5;20121005;211.6;42.32;3;;;;8;2.0;0.0;1;19531128.0;True;2;;;;;1.0;67.0;True;19781001.0;1100.0;65
1381;20120404;63.8;;3;20120504;63.8;21.27;10;;;;5;;4.0;2;19610211.0;True;1;;;;;2.0;64.0;True;20000201.0;700.0;13
1382;20120315;169.0;;5;20120415;169.0;33.8;42;;;;2;;31.0;1;19560814.0;True;2;;;;;1.0;67.0;True;19770201.0;1500.0;84
1383;20120625;185.0;;5;20120725;185.0;37.0;31;;;;2;1.0;27.0;1;19560814.0;True;2;;;;;1.0;67.0;True;19770201.0;1500.0;84
1384;20120811;199.8;;5;20120911;199.8;39.96;33;;;;2;2.0;26.0;1;19560814.0;True;2;;;;;1.0;67.0;True;19770201.0;1500.0;84
