;faturado;valor_entrada;qtd_parcelas;valor_financiado;valor_parcela;mda;qtd_consultas_ate15dias;qtd_consultas_ate60dias;qtd_registros;qtd_contratos_quitados_cliente;qtd_contratos_abertos_cliente;media_atraso_cliente;sexo;idade;tel_fixo;estado_civil;dependentes;veiculo;veiculo_financiado;moradia;anos_residencia;ocupacao;telefone_comercial;anos_empresa;salario;mda_cliente
566;109.99;;6;118.98;19.83;23;0.0;0.0;0.0;4;3.0;2.0;2;57;True;3;0.0;0.0;True;1.0;1.0;27.0;True;7;1020.0;34
567;281.0;;6;281.0;46.83;23;0.0;0.0;0.0;4;3.0;2.0;2;57;True;3;0.0;0.0;True;1.0;1.0;27.0;True;7;1020.0;34
568;227.58;;6;236.58;39.43;19;0.0;0.0;0.0;6;2.0;0.0;2;57;True;3;0.0;0.0;True;1.0;1.0;27.0;True;7;1020.0;34
569;78.69;;3;83.19;27.73;32;0.0;0.0;0.0;6;3.0;0.0;2;57;True;3;0.0;0.0;True;1.0;1.0;27.0;True;7;1020.0;34
570;373.61;;6;382.62;63.77;-26;0.0;0.0;0.0;10;1.0;3.0;2;57;True;3;0.0;0.0;True;1.0;1.0;27.0;True;7;1020.0;34
571;199.54;;6;199.54;33.26;-26;0.0;0.0;0.0;10;1.0;3.0;2;57;True;3;0.0;0.0;True;1.0;1.0;27.0;True;7;1020.0;34
572;229.7;;3;234.21;78.07;5;0.0;0.0;0.0;0;;;2;34;False;2;1.0;0.0;True;1.0;6.0;66.0;False;0;1000.0;11
573;139.25;;2;142.26;71.13;2;0.0;0.0;0.0;0;1.0;2.0;2;34;False;2;1.0;0.0;True;1.0;6.0;66.0;False;0;1000.0;11
574;39.99;;1;41.49;41.49;4;0.0;0.0;0.0;2;;1.0;2;34;False;2;1.0;0.0;True;1.0;6.0;66.0;False;0;1000.0;11
575;87.77;;3;92.28;30.76;-4;0.0;0.0;0.0;3;;1.0;2;34;False;2;1.0;0.0;True;1.0;6.0;66.0;False;0;1000.0;11
576;57.97;;3;62.46;20.82;1;0.0;0.0;0.0;4;;0.0;2;34;False;2;1.0;0.0;True;1.0;6.0;66.0;False;0;1000.0;11
577;61.88;;2;64.88;32.44;3;0.0;0.0;0.0;5;;0.0;2;34;False;2;1.0;0.0;True;1.0;6.0;66.0;False;0;1000.0;11
578;104.93;;3;104.93;34.98;4;0.0;0.0;0.0;6;1.0;0.0;2;34;False;2;1.0;0.0;True;1.0;6.0;66.0;False;0;1000.0;11
579;79.98;;3;84.48;28.16;11;0.0;0.0;0.0;9;;0.0;2;34;False;2;1.0;0.0;True;1.0;6.0;66.0;False;0;1000.0;11
580;31.8;;1;33.3;33.3;-2;0.0;0.0;0.0;9;1.0;0.0;2;34;False;2;1.0;0.0;True;1.0;6.0;66.0;False;0;1000.0;11
581;149.69;;3;154.2;51.4;-26;0.0;0.0;0.0;11;;0.0;2;34;False;2;1.0;0.0;True;1.0;6.0;66.0;False;0;1000.0;11
582;69.92;;3;74.43;24.81;4;0.0;0.0;0.0;6;1.0;0.0;2;34;False;2;1.0;0.0;True;1.0;6.0;66.0;False;0;1000.0;11
583;49.89;;1;51.39;51.39;-2;0.0;0.0;0.0;8;;0.0;2;34;False;2;1.0;0.0;True;1.0;6.0;66.0;False;0;1000.0;11
584;300.0;;8;306.0;38.25;885;2.0;2.0;0.0;0;;;1;31;False;2;2.0;2.0;False;2.0;5.0;40.0;True;6;1000.0;885
585;29.8;;1;29.8;29.8;6;0.0;0.0;0.0;0;;;2;24;False;1;0.0;0.0;True;1.0;8.0;12.0;True;6;730.0;39
586;61.5;;3;61.5;20.5;39;0.0;5.0;0.0;1;1.0;6.0;2;24;False;1;0.0;0.0;True;1.0;8.0;12.0;True;6;730.0;39
587;59.8;;2;60.58;30.29;34;1.0;5.0;0.0;1;;6.0;2;24;False;1;0.0;0.0;True;1.0;8.0;12.0;True;6;730.0;39
588;179.98;;5;179.98;36.0;9;;;;8;;0.0;2;26;True;1;0.0;2.0;True;1.0;10.0;77.0;True;8;681.9;21
